1211201851	西藏银币十两	0.jpg	1.jpg	XF	45	1950
1211204981	袁世凯像壹角	159.jpg	160.jpg	XF	45	1914
1211205805	四川省造卢比	161.jpg	162.jpg	XF	45	1930
1211205821	袁世凯像壹圆	163.jpg	164.jpg	XF	45	1920
1211205823	袁世凯像壹圆	165.jpg	166.jpg	XF	45	1920
1211205825	袁世凯像壹圆	167.jpg	168.jpg	XF	45	1914
1211205827	袁世凯像壹圆	169.jpg	170.jpg	XF	45	1914
1211205829	袁世凯像壹圆	171.jpg	172.jpg	XF	45	1914
1211205831	袁世凯像壹圆	173.jpg	174.jpg	XF	45	1914
1211205861	袁世凯像贰角	175.jpg	176.jpg	XF	45	1916
1211205863	袁世凯像壹圆	177.jpg	178.jpg	XF	45	1914
1211205887	袁世凯像壹圆	179.jpg	180.jpg	XF	45	1914
1211205889	袁世凯像壹圆	181.jpg	182.jpg	XF	45	1914
1211206135	云南省造半圆	183.jpg	184.jpg	XF	45	1911
1211206137	云南省造半圆	185.jpg	186.jpg	XF	45	1911
1211206141	云南省造半圆	187.jpg	188.jpg	XF	45	1911
1211206159	云南省造半圆	189.jpg	190.jpg	XF	45	1911
1211206161	云南省造半圆	191.jpg	192.jpg	XF	45	1911
1211206169	云南省造半圆	193.jpg	194.jpg	XF	45	1911
1211206175	云南省造半圆	195.jpg	196.jpg	XF	45	1911
1211206183	云南省造半圆	197.jpg	198.jpg	XF	45	1911
1211206187	云南省造半圆	199.jpg	200.jpg	XF	45	1911
1211206191	云南省造半圆	201.jpg	202.jpg	XF	45	1911
1211206197	云南省造半圆	203.jpg	204.jpg	XF	45	1911
1211206199	云南省造半圆	205.jpg	206.jpg	XF	45	1911
1211206205	云南省造半圆	207.jpg	208.jpg	XF	45	1911
1211206215	云南省造半圆	209.jpg	210.jpg	XF	45	1911
1211206217	云南省造半圆	211.jpg	212.jpg	XF	45	1911
1211206229	云南省造半圆	213.jpg	214.jpg	XF	45	1911
1211206231	云南省造半圆	215.jpg	216.jpg	XF	45	1911
1211206235	云南省造半圆	217.jpg	218.jpg	XF	45	1911
1211206237	开国纪念壹圆	219.jpg	220.jpg	XF	45	1927
1211206241	袁世凯像壹圆	221.jpg	222.jpg	XF	45	1921
1211206243	袁世凯像壹圆	223.jpg	224.jpg	XF	45	1914
1211206245	袁世凯像壹圆	225.jpg	226.jpg	XF	45	1914
1211206351	大清银币壹圆	227.jpg	228.jpg	XF	45	1911
1211206533	广东省造贰毫	229.jpg	230.jpg	XF	45	1922
1211206535	广东省造贰毫	231.jpg	232.jpg	XF	45	1922
1211206537	广东省造贰毫	233.jpg	234.jpg	XF	45	1922
1211206539	广东省造贰毫	235.jpg	236.jpg	XF	45	1922
1211206545	广东省造贰毫	238.jpg	239.jpg	XF	45	1921
1211206549	广东省造贰毫	241.jpg	242.jpg	XF	45	1921
1211206551	广东省造贰毫	243.jpg	244.jpg	XF	45	1921
1211206553	广东省造贰毫	245.jpg	246.jpg	XF	45	1920
1211206555	广东省造贰毫	247.jpg	248.jpg	XF	45	1920
1211206559	广东省造贰毫	249.jpg	250.jpg	XF	45	1920
1211206561	广东省造贰毫	251.jpg	252.jpg	XF	45	1920
1211206563	广东省造贰毫	253.jpg	254.jpg	XF	45	1920
1211206565	广东省造贰毫	255.jpg	256.jpg	XF	45	1920
1211206567	广东省造贰毫	257.jpg	258.jpg	XF	45	1920
1211206569	广东省造贰毫	259.jpg	260.jpg	XF	45	1920
1211206571	广东省造贰毫	261.jpg	262.jpg	XF	45	1920
1211206575	广东省造贰毫	264.jpg	265.jpg	XF	45	1919
1211206733	北洋局造一圆	266.jpg	267.jpg	XF	45	1908
1211206737	袁世凯像壹圆	268.jpg	269.jpg	XF	45	1914
1211206741	江南省造二角	270.jpg	271.jpg	XF	45	1898
1211206745	新疆喀造伍钱	272.jpg	273.jpg	XF	45	1904
1211206955	孙中山像壹圆	274.jpg	275.jpg	XF	45	1934
1211206971	袁世凯像壹圆	276.jpg	277.jpg	XF	45	1914
1211206973	大清银币壹圆	278.jpg	279.jpg	XF	45	1911
1211207217	唐继尧像半圆	280.jpg	281.jpg	XF	45	1919
1211207237	袁世凯像壹圆	282.jpg	283.jpg	XF	45	1914
1211207241	袁世凯像壹圆	284.jpg	285.jpg	XF	45	1914
1211207247	袁世凯像壹圆	286.jpg	287.jpg	XF	45	1919
1211207257	开国纪念壹圆	288.jpg	289.jpg	XF	45	1927
1211207259	四川银币壹圆	290.jpg	291.jpg	XF	45	1912
1211207263	袁世凯像壹圆	292.jpg	293.jpg	XF	45	1914
1211207323	孙中山像壹圆	294.jpg	295.jpg	XF	45	1934
1211207327	袁世凯像壹圆	296.jpg	297.jpg	XF	45	1914
1211207337	袁世凯像壹圆	298.jpg	299.jpg	XF	45	1921
1211207341	云南省造半圆	300.jpg	301.jpg	XF	45	1911
1211207343	云南省造半圆	302.jpg	303.jpg	XF	45	1911
1211207349	云南省造半圆	304.jpg	305.jpg	XF	45	1911
1211207351	云南省造半圆	306.jpg	307.jpg	XF	45	1911
1211207437	福建官局贰毫	308.jpg	309.jpg	XF	45	1912
1211207439	福建官局贰毫	310.jpg	311.jpg	XF	45	1912
1211207579	广东省造一圆	312.jpg	313.jpg	XF	45	1890
1211207581	湖北省造一圆	314.jpg	315.jpg	XF	45	1909
1211207625	湖北省造一圆	316.jpg	317.jpg	XF	45	1895
1211207627	湖北省造一圆	318.jpg	319.jpg	XF	45	1909
1211207629	江南省造一圆	320.jpg	321.jpg	XF	45	1904
1211207631	江南省造一圆	322.jpg	323.jpg	XF	45	1904
1211207633	广东省造一圆	324.jpg	325.jpg	XF	45	1890
1211207645	袁世凯像壹圆	326.jpg	327.jpg	XF	45	1921
1211207653	北洋局造一圆	328.jpg	329.jpg	XF	45	1899
1211207665	云南省造半圆	330.jpg	331.jpg	XF	45	1932
1211207669	北洋局造一圆	332.jpg	333.jpg	XF	45	1908
1211207671	袁世凯像壹圆	334.jpg	335.jpg	XF	45	1914
1211207673	袁世凯像壹圆	336.jpg	337.jpg	XF	45	1914
1211207677	云南省造半圆	338.jpg	339.jpg	XF	45	1932
1211207681	袁世凯像壹圆	340.jpg	341.jpg	XF	45	1914
1211207685	袁世凯像壹圆	342.jpg	343.jpg	XF	45	1914
1211207689	袁世凯像壹圆	344.jpg	345.jpg	XF	45	1914
1211207691	袁世凯像壹圆	346.jpg	347.jpg	XF	45	1914
1211207693	袁世凯像壹圆	348.jpg	349.jpg	XF	45	1914
1211207697	福建官局二角	350.jpg	351.jpg	XF	45	1902
1211207701	湖北省造二角	352.jpg	353.jpg	XF	45	1895
1211207715	袁世凯像壹圆	354.jpg	355.jpg	XF	45	1921
1211207717	袁世凯像壹圆	356.jpg	357.jpg	XF	45	1921
1211207721	袁世凯像壹圆	358.jpg	359.jpg	XF	45	1914
1211207723	袁世凯像壹圆	360.jpg	361.jpg	XF	45	1914
1211207735	袁世凯像壹圆	362.jpg	363.jpg	XF	45	1914
1211207737	袁世凯像壹圆	364.jpg	365.jpg	XF	45	1914
1211207739	袁世凯像壹圆	366.jpg	367.jpg	XF	45	1914
1211207741	袁世凯像壹圆	368.jpg	369.jpg	XF	45	1914
1211207743	袁世凯像壹圆	370.jpg	371.jpg	XF	45	1914
1211207745	袁世凯像壹圆	372.jpg	373.jpg	XF	45	1914
1211207747	袁世凯像壹圆	374.jpg	375.jpg	XF	45	1914
1211207749	袁世凯像壹圆	376.jpg	377.jpg	XF	45	1914
1211207751	袁世凯像壹圆	378.jpg	379.jpg	XF	45	1914
1211207753	袁世凯像壹圆	380.jpg	381.jpg	XF	45	1914
1211207755	袁世凯像壹圆	382.jpg	383.jpg	XF	45	1914
1211207757	袁世凯像壹圆	384.jpg	385.jpg	XF	45	1914
1211207759	袁世凯像壹圆	386.jpg	387.jpg	XF	45	1914
1211207761	袁世凯像壹圆	388.jpg	389.jpg	XF	45	1914
1211207763	袁世凯像壹圆	390.jpg	391.jpg	XF	45	1914
1211207765	袁世凯像壹圆	392.jpg	393.jpg	XF	45	1914
1211207767	袁世凯像壹圆	394.jpg	395.jpg	XF	45	1914
1211207769	袁世凯像壹圆	396.jpg	397.jpg	XF	45	1914
1211207771	袁世凯像壹圆	398.jpg	399.jpg	XF	45	1914
1211207825	云南省造二角	400.jpg	401.jpg	XF	45	1911
1211207827	云南省造二角	402.jpg	403.jpg	XF	45	1911
1211207833	云南省造二角	404.jpg	405.jpg	XF	45	1911
1211207837	云南省造二角	406.jpg	407.jpg	XF	45	1911
1211207845	云南省造二角	408.jpg	409.jpg	XF	45	1911
1211207847	云南省造二角	410.jpg	411.jpg	XF	45	1911
1211207849	云南省造二角	412.jpg	413.jpg	XF	45	1911
1211207851	云南省造二角	414.jpg	415.jpg	XF	45	1911
1211207855	云南省造二角	416.jpg	417.jpg	XF	45	1911
1211207861	云南省造二角	418.jpg	419.jpg	XF	45	1911
1211207863	云南省造二角	420.jpg	421.jpg	XF	45	1911
1211207865	云南省造二角	422.jpg	423.jpg	XF	45	1911
1211207867	云南省造二角	424.jpg	425.jpg	XF	45	1911
1211207881	东三省造二角	426.jpg	427.jpg	XF	45	1912
1211207885	东三省造二角	428.jpg	429.jpg	XF	45	1909
1211207891	东三省造二角	430.jpg	431.jpg	XF	45	1912
1211207897	东三省造二角	432.jpg	433.jpg	XF	45	1909
1211207899	东三省造二角	434.jpg	435.jpg	XF	45	1909
1211207903	东三省造二角	436.jpg	437.jpg	XF	45	1909
1211207905	东三省造二角	438.jpg	439.jpg	XF	45	1909
1211207907	东三省造二角	440.jpg	441.jpg	XF	45	1907
1211207909	东三省造二角	442.jpg	443.jpg	XF	45	1914
1211207913	东三省造二角	445.jpg	446.jpg	XF	45	1909
1211207919	东三省造二角	447.jpg	448.jpg	XF	45	1907
1211207921	东三省造二角	449.jpg	450.jpg	XF	45	1909
1211207923	东三省造二角	451.jpg	452.jpg	XF	45	1909
1211207927	东三省造二角	453.jpg	454.jpg	XF	45	1907
1211207931	东三省造二角	455.jpg	456.jpg	XF	45	1909
1211207933	东三省造二角	457.jpg	458.jpg	XF	45	1909
1211207937	东三省造二角	459.jpg	460.jpg	XF	45	1914
1211207939	东三省造二角	461.jpg	462.jpg	XF	45	1909
1211207941	东三省造二角	463.jpg	464.jpg	XF	45	1914
1211207947	东三省造二角	465.jpg	466.jpg	XF	45	1909
1211207949	东三省造二角	467.jpg	468.jpg	XF	45	1909
1211207953	东三省造二角	469.jpg	470.jpg	XF	45	1909
1211207961	江南省造一角	471.jpg	472.jpg	XF	45	1899
1211207969	开国纪念壹圆	473.jpg	474.jpg	XF	45	1927
1211207971	开国纪念壹圆	475.jpg	476.jpg	XF	45	1927
1211207975	开国纪念壹圆	477.jpg	478.jpg	XF	45	1927
1211207987	北洋局造一圆	479.jpg	480.jpg	XF	45	1908
1211207989	北洋局造一圆	481.jpg	482.jpg	XF	45	1908
1211207991	袁世凯像壹圆	483.jpg	484.jpg	XF	45	1914
1211208003	唐继尧像半圆	485.jpg	486.jpg	XF	45	1919
1211208005	唐继尧像半圆	487.jpg	488.jpg	XF	45	1919
1211208017	吉林省造二角	489.jpg	490.jpg	XF	45	1903
1211208019	吉林省造二角	491.jpg	492.jpg	XF	45	1901
1211208049	孙中山像贰毫	493.jpg	494.jpg	XF	45	1929
1211208055	云南省造半圆	495.jpg	496.jpg	XF	45	1911
1211208057	云南省造贰角	497.jpg	498.jpg	XF	45	1932
1211208069	袁世凯像壹圆	499.jpg	500.jpg	XF	45	1919
1211208079	袁世凯像壹圆	501.jpg	502.jpg	XF	45	1914
1211208081	袁世凯像壹圆	503.jpg	504.jpg	XF	45	1914
1211208083	袁世凯像壹圆	505.jpg	506.jpg	XF	45	1914
1211208085	袁世凯像壹圆	507.jpg	508.jpg	XF	45	1914
1211208087	袁世凯像壹圆	509.jpg	510.jpg	XF	45	1914
1211208089	袁世凯像壹圆	511.jpg	512.jpg	XF	45	1914
1211208091	袁世凯像壹圆	513.jpg	514.jpg	XF	45	1914
1211208093	袁世凯像壹圆	515.jpg	516.jpg	XF	45	1914
1211208095	袁世凯像壹圆	517.jpg	518.jpg	XF	45	1914
1211208097	袁世凯像壹圆	519.jpg	520.jpg	XF	45	1921
1211208119	袁世凯像壹圆	521.jpg	522.jpg	XF	45	1921
1211208121	袁世凯像壹圆	523.jpg	524.jpg	XF	45	1920
1211208127	袁世凯像壹圆	525.jpg	526.jpg	XF	45	1921
1211208137	东三省造二角	527.jpg	528.jpg	XF	45	1909
1211208147	北洋局造一圆	529.jpg	530.jpg	XF	45	1900
1211208151	袁世凯像壹圆	531.jpg	532.jpg	XF	45	1914
1211208153	袁世凯像壹圆	533.jpg	534.jpg	XF	45	1914
1211208157	江南省造一圆	535.jpg	536.jpg	XF	45	1904
1211208159	北洋局造一圆	537.jpg	538.jpg	XF	45	1908
1211208161	北洋局造一圆	539.jpg	540.jpg	XF	45	1908
1211208165	四川银币壹圆	541.jpg	542.jpg	XF	45	1912
1211208167	四川银币壹圆	543.jpg	544.jpg	XF	45	1912
1211208171	四川银币壹圆	545.jpg	546.jpg	XF	45	1912
1211208221	云南省造贰角	547.jpg	548.jpg	XF	45	1932
1211208231	广东省造贰毫	549.jpg	550.jpg	XF	45	1912
1211208235	袁世凯像壹圆	551.jpg	552.jpg	XF	45	1914
1211208263	袁世凯像壹圆	553.jpg	554.jpg	XF	45	1921
1211208269	袁世凯像壹圆	555.jpg	556.jpg	XF	45	1914
1211208279	袁世凯像壹圆	557.jpg	558.jpg	XF	45	1914
1211208281	袁世凯像壹圆	559.jpg	560.jpg	XF	45	1914
1211208285	袁世凯像壹圆	561.jpg	562.jpg	XF	45	1914
1211208289	袁世凯像壹圆	563.jpg	564.jpg	XF	45	1921
1211208295	孙中山像壹圆	565.jpg	566.jpg	XF	45	1933
1211208299	北洋局造一圆	567.jpg	568.jpg	XF	45	1903
1211208311	袁世凯像壹圆	569.jpg	570.jpg	XF	45	1914
1211208319	北洋局造一圆	571.jpg	572.jpg	XF	45	1908
1211208327	袁世凯像壹圆	573.jpg	574.jpg	XF	45	1914
1211208329	袁世凯像壹圆	575.jpg	576.jpg	XF	45	1914
1211208383	袁世凯像壹圆	577.jpg	578.jpg	XF	45	1920
1211208385	袁世凯像壹圆	579.jpg	580.jpg	XF	45	1914
1211208417	袁世凯像壹圆	581.jpg	582.jpg	XF	45	1914
1211208423	袁世凯像壹圆	583.jpg	584.jpg	XF	45	1914
1211208437	袁世凯像壹圆	585.jpg	586.jpg	XF	45	1914
1211208441	袁世凯像壹圆	587.jpg	588.jpg	XF	45	1914
1211208469	袁世凯像壹圆	589.jpg	590.jpg	XF	45	1914
1211208475	袁世凯像壹圆	591.jpg	592.jpg	XF	45	1914
1211208505	福建官局二角	593.jpg	594.jpg	XF	45	1902
1211208525	云南省造二角	595.jpg	596.jpg	XF	45	1911
1211208571	袁世凯像壹圆	597.jpg	598.jpg	XF	45	1920
1211208587	袁世凯像壹圆	599.jpg	600.jpg	XF	45	1914
1211208643	开国纪念壹圆	601.jpg	602.jpg	XF	45	1927
1211208717	云南省造半圆	603.jpg	604.jpg	XF	45	1911
1211208721	四川省造卢比	605.jpg	606.jpg	XF	45	1930
1211208727	东三省造二角	607.jpg	608.jpg	XF	45	1909
1211208749	福建省造二角	609.jpg	610.jpg	XF	45	1924
1211208753	福建省造一角	611.jpg	612.jpg	XF	45	1894
1211208755	奉天省造二角	613.jpg	614.jpg	XF	45	1904
1211208759	袁世凯像壹圆	615.jpg	616.jpg	XF	45	1914
1211208765	袁世凯像壹圆	617.jpg	618.jpg	XF	45	1914
1211208791	袁世凯像壹圆	619.jpg	620.jpg	XF	45	1914
1211208795	袁世凯像壹圆	621.jpg	622.jpg	XF	45	1914
1211208797	袁世凯像壹圆	623.jpg	624.jpg	XF	45	1914
1211208799	袁世凯像壹圆	625.jpg	626.jpg	XF	45	1914
1211208801	袁世凯像壹圆	627.jpg	628.jpg	XF	45	1914
1211208803	袁世凯像壹圆	629.jpg	630.jpg	XF	45	1921
1211208805	袁世凯像壹圆	631.jpg	632.jpg	XF	45	1921
1211208813	开国纪念壹圆	633.jpg	634.jpg	XF	45	1927
1211208831	云南省造半圆	635.jpg	636.jpg	XF	45	1911
1211208833	云南省造半圆	637.jpg	638.jpg	XF	45	1911
1211208845	云南省造半圆	639.jpg	640.jpg	XF	45	1911
1211208855	云南省造半圆	641.jpg	642.jpg	XF	45	1911
1211208857	云南省造半圆	643.jpg	644.jpg	XF	45	1911
1211208863	云南省造半圆	645.jpg	646.jpg	XF	45	1911
1211208867	云南省造半圆	647.jpg	648.jpg	XF	45	1911
1211208871	云南省造半圆	649.jpg	650.jpg	XF	45	1911
1211208873	云南省造半圆	651.jpg	652.jpg	XF	45	1911
1211208877	云南省造半圆	653.jpg	654.jpg	XF	45	1911
1211208885	云南省造半圆	655.jpg	656.jpg	XF	45	1911
1211208895	云南省造半圆	657.jpg	658.jpg	XF	45	1932
1211208899	云南省造贰角	659.jpg	660.jpg	XF	45	1932
1211208921	云南省造贰角	661.jpg	662.jpg	XF	45	1932
1211208927	云南省造贰角	663.jpg	664.jpg	XF	45	1932
1211208929	云南省造贰角	665.jpg	666.jpg	XF	45	1932
1211208933	云南省造贰角	667.jpg	668.jpg	XF	45	1932
1211208943	云南省造贰角	669.jpg	670.jpg	XF	45	1932
1211208945	云南省造贰角	671.jpg	672.jpg	XF	45	1932
1211208961	云南省造贰角	673.jpg	674.jpg	XF	45	1932
1211208967	云南省造二角	675.jpg	676.jpg	XF	45	1911
1211208971	四川银币壹圆	677.jpg	678.jpg	XF	45	1912
1211209007	西藏章嘎嘎布	679.jpg	680.jpg	XF	45	1912-30
1211209009	西藏章嘎嘎布	681.jpg	682.jpg	XF	45	1912-30
1211209011	西藏章嘎嘎布	683.jpg	684.jpg	XF	45	1912-30
1211209013	西藏章嘎嘎布	685.jpg	686.jpg	XF	45	1912-30
1211209015	西藏章嘎嘎布	687.jpg	688.jpg	XF	45	1912-30
1211209017	西藏章嘎嘎布	689.jpg	690.jpg	XF	45	1912-30
1211209019	西藏章嘎嘎布	691.jpg	692.jpg	XF	45	1912-30
1211209021	西藏章嘎嘎布	693.jpg	694.jpg	XF	45	1912-30
1211209023	西藏章嘎嘎布	695.jpg	696.jpg	XF	45	1912-30
1211209025	西藏章嘎嘎布	697.jpg	698.jpg	XF	45	1912-30
1211209027	西藏章嘎嘎布	699.jpg	700.jpg	XF	45	1912-30
1211209095	袁世凯像壹圆	702.jpg	703.jpg	XF	45	1919
1211209129	袁世凯像壹圆	704.jpg	705.jpg	XF	45	1914
1211209137	袁世凯像壹圆	706.jpg	707.jpg	XF	45	1914
1211209139	袁世凯像壹圆	708.jpg	709.jpg	XF	45	1914
1211209145	北洋局造一圆	710.jpg	711.jpg	XF	45	1908
1211209241	云南省造半圆	712.jpg	713.jpg	XF	45	1908
1211209243	云南省造半圆	714.jpg	715.jpg	XF	45	1908
1211209245	云南省造半圆	716.jpg	717.jpg	XF	45	1908
1211209249	四川省造卢比	718.jpg	719.jpg	XF	45	1902
1211209251	四川省造卢比	720.jpg	721.jpg	XF	45	1930
1211209253	云南省造半圆	722.jpg	723.jpg	XF	45	1911
1211209413	云南省造半圆	724.jpg	725.jpg	XF	45	1908
1211209415	云南省造半圆	726.jpg	727.jpg	XF	45	1908
1211209417	云南省造半圆	728.jpg	729.jpg	XF	45	1908
1211209419	云南省造半圆	730.jpg	731.jpg	XF	45	1908
1211209421	云南省造半圆	732.jpg	733.jpg	XF	45	1908
1211209423	云南省造半圆	734.jpg	735.jpg	XF	45	1908
1211209443	喀什宣统元宝伍钱	736.jpg	737.jpg	XF	45	1911
1211209447	新疆饷银五钱	738.jpg	739.jpg	XF	45	1905
1211209459	新疆饷银一两	740.jpg	741.jpg	XF	45	1910
1211209463	袁世凯像壹圆	742.jpg	743.jpg	XF	45	1914
1211209491	开国纪念壹圆	744.jpg	745.jpg	XF	45	1927
1211209495	开国纪念壹圆	746.jpg	747.jpg	XF	45	1927
1211209599	袁世凯像壹圆	749.jpg	750.jpg	XF	45	1914
1211209639	孙中山像壹圆	751.jpg	752.jpg	XF	45	1933
1211209643	袁世凯像壹圆	753.jpg	754.jpg	XF	45	1921
1211209649	北洋局造一圆	755.jpg	756.jpg	XF	45	1908
1211209657	袁世凯像壹圆	757.jpg	758.jpg	XF	45	1919
1211209709	大清银币壹圆	759.jpg	760.jpg	XF	45	1911
1211209711	大清银币壹圆	761.jpg	762.jpg	XF	45	1911
1211209713	大清银币壹圆	763.jpg	764.jpg	XF	45	1911
1211209715	大清银币壹圆	765.jpg	766.jpg	XF	45	1911
1211209717	大清银币壹圆	767.jpg	768.jpg	XF	45	1911
1211209739	云南省造半圆	769.jpg	770.jpg	XF	45	1908
1211209741	北洋局造一圆	771.jpg	772.jpg	XF	45	1908
1211209743	北洋局造一圆	773.jpg	774.jpg	XF	45	1899
1211209747	袁世凯像壹圆	775.jpg	776.jpg	XF	45	1914
1211209749	造币总厂一圆	777.jpg	778.jpg	XF	45	1908
1211209833	袁世凯像壹圆	779.jpg	780.jpg	XF	45	1919
1211209845	袁世凯像壹圆	781.jpg	782.jpg	XF	45	1920
1211209849	大清银币壹圆	783.jpg	784.jpg	XF	45	1911
1211209851	大清银币壹圆	785.jpg	786.jpg	XF	45	1911
1211209853	大清银币壹圆	787.jpg	788.jpg	XF	45	1911
1211209871	造币总厂一圆	789.jpg	790.jpg	XF	45	1908
1211209873	造币总厂一圆	791.jpg	792.jpg	XF	45	1908
1211209881	袁世凯像壹角	793.jpg	794.jpg	XF	45	1914
1211209885	云南省造半圆	795.jpg	796.jpg	XF	45	1911
1211209891	开国纪念壹圆	797.jpg	798.jpg	XF	45	1927
1211209893	开国纪念壹圆	799.jpg	800.jpg	XF	45	1927
1211209973	唐继尧像半圆	801.jpg	802.jpg	XF	45	1919
1211209983	云南省造半圆	803.jpg	804.jpg	XF	45	1909
1211209999	云南省造半圆	805.jpg	806.jpg	XF	45	1932
1211301733	袁世凯像壹圆	807.jpg	808.jpg	XF	45	1914
1211301757	袁世凯像壹圆	809.jpg	810.jpg	XF	45	1914
1211301765	袁世凯像壹圆	811.jpg	812.jpg	XF	45	1914
